Time (s),Cleaned Ankle 1,Cleaned Ankle 2,Original Ankle 1,Original Ankle 2,Hip Position
1.368,175.40610888111934,58.10211755244769,153.9861,14.19425,-20.97195
1.401,179.52621386946436,50.31082279720292,163.4737,12.98001,-19.39679
1.435,170.04665224242473,58.40520862470877,159.9193,34.09262,-19.52545
1.468,148.07793954545494,78.94467909090929,139.1264,65.44817,-21.78912
1.502,117.31708976690008,105.88549013986042,101.1065,94.05266,-24.58563
1.535,83.88308754079276,132.938136643357,55.36735,113.0711,-25.67334
1.568,55.263597482517625,154.9771832167836,18.3993,126.4693,-24.00802
1.602,37.9870630186481,168.20171948717993,1.913543,141.4193,-20.24472
1.635,35.40647512820521,170.38262662004706,7.307022,155.8847,-16.25705
1.668,46.889091410256526,161.16146491841533,29.40981,158.9807,-13.96317
1.702,68.36192216783235,141.5369177389281,59.66585,141.9914,-13.92613
1.735,94.09620726107252,113.73730745920777,88.25611,106.5168,-14.97292
1.768,118.95920554778587,82.47313261072283,109.3045,64.22777,-15.35012
1.802,139.35602213986053,55.10020622377636,124.2371,29.34966,-14.2193
1.835,152.7541668764573,38.760541468531564,136.8119,11.30373,-12.04613
1.869,157.3170347552452,36.96367384615394,146.2944,13.6068,-10.23473
1.902,152.20836624708667,48.600256410256534,147.4445,33.75367,-10.53183
1.935,137.89333079254118,69.3231224242426,134.6899,61.88678,-13.73365
1.969,116.2024392773896,93.73861650349674,106.4928,85.88768,-18.62191
2.002,90.6445897669,117.13108442890473,68.90382,100.9271,-22.67378
2.035,66.41978797202815,136.12418818181854,34.39643,111.0038,-24.06708
2.069,49.082030582750704,148.63995531468572,14.09391,120.9474,-23.01616
2.102,42.493612377622476,153.70788580419622,11.20354,130.3498,-21.21725
2.135,47.58151009324021,151.15198263403303,22.4904,134.7362,-20.45438
2.169,62.3337913519815,141.3124367365971,42.21167,128.7502,-21.68047
2.202,82.71524419580442,125.36932111888146,63.5593,109.3292,-24.5199
2.236,104.30516454545482,106.1015744988348,81.44413,80.00311,-27.46167
2.269,123.7558847785551,87.67350368298392,95.71555,51.26828,-29.02539
2.302,138.85705550116586,73.99194123543143,108.3373,33.44751,-29.02243
2.336,147.85657174825218,67.28696118881138,118.0196,29.78528,-28.91965
2.369,149.4878579953384,67.97939776223794,120.9024,36.40805,-30.81013
2.402,143.48090811188848,75.05140706293726,114.2842,45.8842,-35.30208
2.436,130.75101519813555,86.48327696969719,97.38955,52.306,-40.54054
2.469,113.40569428904459,100.08455000000026,72.21223,56.20307,-44.08802
2.502,92.46443377622407,112.10609058275051,45.32355,63.16126,-45.17226
2.536,73.41747846153875,123.93521673659664,25.12123,76.55067,-44.45771
2.569,59.48718876456911,134.92070312354303,15.57476,93.23412,-42.96104
2.603,53.89592510489541,144.41132440559429,14.41862,105.9286,-41.95979
2.636,59.866047902098245,151.75585524475514,17.06907,107.4888,-42.53344
