Time (s),Cleaned Ankle 1,Cleaned Ankle 2,Original Ankle 1,Original Ankle 2,Hip Position
2.135,-12.563287151515183,4.551583678321691,-8.742986,8.496948,10.4074
2.169,24.06647294172501,-33.256150470862565,25.61646,-34.56208,14.04951
2.202,56.010054151515305,-61.375426603729785,69.47445,-59.14877,18.18782
2.236,77.3744691841494,-74.03356408857829,110.8193,-61.37206,22.33708
2.269,83.86418732867156,-69.88390931002351,131.8941,-44.17894,26.55358
2.302,73.3502366890445,-50.555108107226246,123.8365,-14.95112,31.53469
2.336,47.058334473426704,-19.89362841491847,92.04706,19.26722,38.09946
2.369,10.965631877855508,16.627599230769274,51.27858,57.57534,46.45961
2.402,-25.01585892051289,53.00290941724957,16.9027,102.7004,55.9299
2.436,-51.17294004289059,83.44964918414942,-1.567914,150.2337,65.41118
2.469,-62.608455055711126,102.69325426573455,-0.9327161,187.1943,74.18636
2.502,-59.52570232261107,111.6099147086247,17.3605,203.2374,82.29631
2.536,-49.65709102540822,105.79278652680651,46.42735,196.6183,90.3008
2.569,-35.334545972960626,82.07152340326337,74.84718,170.4872,98.51251
2.603,-18.889991974126062,37.27577902097895,93.17686,131.6019,106.387
2.636,-2.655353837762334,-31.764792937063085,101.5632,91.82605,113.0364
